INCIDENT_CAUSE,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT
3,1,157654.9,2017-04-25,2017-04-28,1,1,41.90210313,-87.75562353,35765.0,1,9/19/16,9/19/17,2010,Nissan,Sentra,MJCW106,Silver,144972,0,Will,Dorau,M,12/25/73,457-20-9007,8/19/18,IL,4/16/99,634-603-0960 ,wdorau@freshmaail.com,0
3,3,226154.5,2018-08-26,2018-08-31,0,1,41.96356191,-87.73139688,1909.0,0,6/14/17,6/14/18,2008,Dodge,Ram,LKUD688,White,212580,0,Tammie,Mostrom,F,9/14/45,718-38-8987,1/27/18,IL,6/9/11,827-916-0381 ,tmostrom@yahoot.com,0
1,1,83968.6,2016-01-07,2016-01-11,0,2,41.73660156,-87.6049681,25730.0,1,8/24/15,8/23/16,2009,Chevrolet,Equinox,OBQU415,White,77994,1,Esther,Sebranek,F,5/16/88,076-62-7083,11/19/19,IL,5/21/05,723-552-0479 ,esebranek@zohoo.com,0
1,1,309570.3,2016-12-11,2016-12-18,0,1,41.90992525,-87.73155722,40880.0,1,7/25/15,7/24/16,2002,Chevrolet,Equinox,EVOQ882,White,296352,0,Donny,Nickless,M,1/18/74,571-32-3662,5/16/19,IL,3/11/00,741-637-0631 ,dnickless@life.com,0
3,3,136633.9,2017-06-06,2017-06-08,0,1,41.9237502,-87.78988086,2130.0,0,1/8/16,1/7/17,2010,Honda,CR-V,OGDM932,White,134244,0,Floyd,Liggan,M,5/1/50,315-84-4443,7/6/20,IL,7/4/12,735-427-0152 ,fliggan@mooosend.com,0
1,3,326514.1,2018-03-06,2018-03-19,0,1,41.90925707,-87.78505659,1970.0,0,1/15/17,1/15/18,2004,Ford,F-150,REJM073,White,316848,0,Eula,Warszawski,F,7/11/96,471-29-3745,9/26/21,IL,7/15/01,258-917-0229 ,ewarszawski@husshmail.com,0
2,3,58477.9,2017-08-13,2017-08-18,0,1,41.92839511,-87.7964676,2290.0,0,7/8/16,7/8/17,2012,Chevrolet,Impala,CMJQ294,Silver,53232,1,Griselda,Loner,F,1/17/94,831-08-6699,5/10/19,IL,4/8/04,237-542-0511 ,gloner@inboux.com,0
1,3,176476.9,2017-02-10,2017-02-18,0,1,41.88571554,-87.72837561,2990.0,0,8/11/16,8/11/17,2010,Kia,Sportage,ZXUR990,Med Dk Blue,165900,0,Octavio,Schneweis,M,5/28/48,533-58-6360,4/26/19,IL,2/2/99,358-965-0435 ,oschneweis@inboux.com,0
3,3,277812.7,2018-02-16,2018-02-24,0,1,41.89505399,-87.74566176,1170.0,0,10/13/17,10/13/18,2006,Nissan,Sentra,MUWC424,Black,268104,0,Hiram,Tobal,M,6/6/01,177-05-4386,4/15/21,IL,3/7/05,342-300-0794 ,htobal@zohoo.com,0
5,3,190541.3,2016-12-28,2017-01-11,0,1,41.89197561,-87.61458027,2090.0,0,6/23/15,6/22/16,2008,Kia,Sportage,DSBF062,Med. Dark Gray,178656,0,Daphne,Combis,F,5/13/96,663-04-9631,8/7/19,IL,3/4/12,729-508-0389 ,dcombis@mooosend.com,0
